Id,SalePrice
1461,127745.40875705826
1462,164628.29571568046
1463,182299.51686993748
1464,193994.39271158873
1465,183339.53898408276
1466,171399.4926714475
1467,174273.85368707436
1468,165409.4722981273
1469,180829.81425986727
1470,127314.67349356084
1471,202585.01539599852
1472,94786.69532436316
1473,98876.99579768874
1474,151274.44567523926
1475,131435.01079369537
1476,331351.39280230075
1477,253341.20280129637
1478,285157.068775956
1479,223025.4438160584
1480,459799.697029457
1481,295027.18150741706
1482,205959.76895734636
1483,170973.51066715477
1484,165487.08896233115
1485,175770.00728585082
1486,191625.71916272814
1487,307726.6749294953
1488,236735.769486107
1489,206851.8948097814
1490,233432.08753353925
1491,186012.69131727732
1492,102600.07302626417
1493,181921.7171615578
1494,293633.07552102715
1495,292226.5206741543
1496,231156.78829157833
1497,184426.38947202283
1498,160764.83246373493
1499,157423.68218939507
1500,146403.1455273912
1501,178039.8635144515
1502,157565.31129193367
1503,292937.7046880803
1504,229426.6466332328
1505,220998.9656938914
1506,184527.86916119783
1507,237199.99024133102
1508,196946.55983545916
1509,162751.24300015517
1510,146893.29428281338
1511,144049.11216149965
1512,183255.6005560461
1513,135828.80673991508
1514,155380.87056179912
1515,184877.93079226607
1516,160620.1864517618
1517,161642.89823016518
1518,142210.44296744498
1519,235166.22779604973
1520,135989.73561248856
1521,139356.98122021795
1522,161984.71704155757
1523,112491.84142060495
1524,128413.76309575544
1525,125569.84613849674
1526,121186.24869174848
1527,96358.02942636944
1528,134066.75402894645
1529,149041.8294969197
1530,165719.4702217561
1531,101901.43266517752
1532,102199.02936647112
1533,156175.36673020525
1534,118296.45592103079
1535,155920.26589829486
1536,112481.42959921347
1537,88493.59830298158
1538,173773.73929781583
1539,207279.3776679981
1540,105350.86903396362
1541,140632.23957154644
1542,144223.09915200796
1543,240603.7697924062
1544,85556.42185403423
1545,112399.7553153182
1546,123102.94352751623
1547,132468.3988649999
1548,132078.3242332352
1549,110930.95114937512
1550,144232.00453712643
1551,113857.15447525293
1552,136346.11859611075
1553,164445.61762281004
1554,106349.94387520624
